0 (-0.850629,-0.0342888) 1.48792e-10
1 (-0.850629,0.0342888) 2.10262e-07
2 (-0.850217,0.0531961) 6.8233e-14
3 (-0.850217,-0.0531961) 5.97859e-15
4 (-0.849002,-0.102721) 1.43411e-10
5 (-0.849002,0.102721) 0.00020038
6 (-0.847004,-0.109405) 1.738e-15
7 (-0.847004,0.109405) 9.87514e-16
8 (-0.844027,-0.147629) 3.36798e-15
9 (-0.844027,0.147629) 8.03824e-15
10 (-0.841213,0.172798) 4.74693e-10
11 (-0.841213,-0.172798) 4.7714e-15
12 (-0.833848,0.227054) 1.01589e-07
13 (-0.830159,-0.252303) 6.47444e-15
14 (-0.830159,0.252303) 1.03297e-13
15 (-0.827522,0.266151) 3.03715e-08
16 (-0.812855,-0.342012) 7.28575e-15
17 (-0.812855,0.342012) 4.24429e-15
18 (-0.807601,0.363139) 0.000119487
19 (-0.807601,-0.363139) 5.55303e-08
20 (-0.798327,-0.401498) 5.49344e-15
21 (-0.798327,0.401498) 7.28079e-15
22 (-0.758787,-0.528727) 7.93544e-15
23 (-0.758787,0.528727) 6.60372e-15
