0 (-0.850614,-0.0342798) 4.68313e-12
1 (-0.850614,0.0342798) 1.00727e-11
2 (-0.850204,0.0531626) 3.70809e-15
3 (-0.850204,-0.0531626) 4.89126e-15
4 (-0.84899,-0.102686) 1.95292e-07
5 (-0.84899,0.102686) 7.09515e-09
6 (-0.84698,0.109422) 6.47621e-16
7 (-0.84698,-0.109422) 3.16845e-15
8 (-0.844028,0.147668) 3.16328e-15
9 (-0.844028,-0.147668) 6.06159e-15
10 (-0.841203,-0.172806) 2.3495e-14
11 (-0.841203,0.172806) 1.22655e-15
12 (-0.83383,-0.227061) 0.0100767
13 (-0.830151,0.252312) 5.72416e-15
14 (-0.830151,-0.252312) 2.41847e-14
15 (-0.827412,0.265205) 0.0323367
16 (-0.812822,-0.342022) 8.24979e-15
17 (-0.812822,0.342022) 5.83598e-15
18 (-0.80755,0.363053) 0.00199302
19 (-0.798293,-0.40146) 2.69622e-15
20 (-0.798293,0.40146) 1.0468e-14
21 (-0.785067,0.447008) 0.00386237
22 (-0.758834,-0.528684) 8.57867e-15
23 (-0.758834,0.528684) 1.09454e-14
