0 (-0.850614,0.0342798) 0.00256699
1 (-0.850614,-0.0342798) 0
2 (-0.850204,0.0531626) 0
3 (-0.850204,-0.0531626) 3.83151e-08
4 (-0.85016,0.044188) 1.01919e-11
5 (-0.85016,-0.044188) 0.000167939
6 (-0.850053,0.0252734) 0.00018873
7 (-0.850053,-0.0252734) 0
8 (-0.849293,-0.0241166) 0
9 (-0.849244,-0.0479629) 0
10 (-0.849244,0.0479629) 0
11 (-0.84899,0.102686) 0.000213092
12 (-0.84899,-0.102686) 0
13 (-0.848579,-0.0593471) 0
14 (-0.848424,-0.0640663) 3.23707e-07
15 (-0.847885,-0.0771926) 9.17467e-10
16 (-0.847826,-0.0846624) 0.000123691
17 (-0.847826,0.0846624) 1.61071e-09
18 (-0.847488,-0.09438) 9.09526e-13
19 (-0.847488,0.09438) 0.000139842
20 (-0.84698,0.109422) 1.53514e-06
21 (-0.84698,-0.109422) 4.84588e-13
22 (-0.846918,-0.0985964) 2.15361e-11
23 (-0.846742,-0.10326) 2.68156e-15
24 (-0.84674,0.103256) 3.58388e-15
25 (-0.84632,0.113917) 5.53727e-12
26 (-0.84632,-0.113917) 4.88837e-11
27 (-0.846011,0.117641) 2.69935e-15
28 (-0.846011,-0.117641) 2.87627e-15
29 (-0.844028,0.147668) 0.000601338
30 (-0.844028,-0.147668) 7.04285e-16
31 (-0.842737,0.151076) 3.31393e-15
32 (-0.841203,-0.172806) 6.98427e-15
33 (-0.841203,0.172806) 5.35486e-15
34 (-0.839242,0.183283) 1.53769e-05
35 (-0.836888,0.203719) 0.0638179
36 (-0.836887,-0.203718) 0.000549399
37 (-0.835532,0.200668) 2.44681e-11
38 (-0.833839,-0.227046) 8.83775e-15
39 (-0.833839,0.227046) 4.78792e-10
40 (-0.831967,0.236829) 1.14846e-07
41 (-0.830151,-0.252312) 9.91995e-15
42 (-0.830151,0.252312) 3.74717e-15
43 (-0.827513,-0.266138) 1.35907e-14
44 (-0.827513,0.266138) 2.29312e-11
45 (-0.826141,0.272893) 5.29609e-08
46 (-0.826141,-0.272893) 1.10553e-10
47 (-0.817719,-0.315743) 0.000191073
48 (-0.817718,0.315743) 4.48022e-07
49 (-0.812822,-0.342022) 3.22024e-15
