0 (-0.85059,0.0342673) 9.67279e-16
1 (-0.85059,-0.0342673) 8.96601e-15
2 (-0.85018,-0.0531177) 2.68272e-07
3 (-0.85018,0.0531177) 9.37566e-07
4 (-0.850126,0.0442065) 0
5 (-0.850126,-0.0442065) 0
6 (-0.850125,-0.0252513) 0
7 (-0.850125,0.0252513) 0
8 (-0.849202,0.0479724) 0
9 (-0.849202,-0.0479724) 0
10 (-0.848968,0.102637) 4.83501e-07
11 (-0.848968,-0.102637) 1.40616e-06
12 (-0.847819,-0.0846835) 1.21918e-08
13 (-0.847819,0.0846835) 3.1471e-09
14 (-0.847454,-0.0943798) 0.000189305
15 (-0.847454,0.0943798) 6.31402e-05
16 (-0.846941,0.109445) 1.22747e-10
17 (-0.846941,-0.109445) 4.64453e-10
18 (-0.846777,0.103249) 1.40315e-15
19 (-0.846771,-0.103254) 3.76446e-15
20 (-0.846317,-0.113902) 1.08616e-08
21 (-0.846317,0.113902) 9.0342e-10
22 (-0.845991,0.117622) 1.2597e-15
23 (-0.845991,-0.117622) 3.84431e-15
24 (-0.844029,-0.147713) 1.99237e-15
25 (-0.844029,0.147713) 7.06423e-15
26 (-0.841178,-0.172813) 2.35797e-15
27 (-0.841178,0.172813) 5.26655e-15
28 (-0.839211,0.18329) 0.00503393
29 (-0.836914,-0.203732) 1.4186e-11
30 (-0.836914,0.203732) 1.77058e-05
31 (-0.833814,0.227029) 4.47918e-10
32 (-0.833814,-0.227029) 2.63417e-15
33 (-0.831958,0.236832) 6.06432e-09
34 (-0.830137,-0.252316) 3.33929e-15
35 (-0.830137,0.252316) 9.92626e-15
36 (-0.827492,0.266113) 3.10478e-10
37 (-0.827492,-0.266113) 2.82825e-15
38 (-0.826145,-0.272888) 3.55537e-07
39 (-0.826145,0.272888) 3.61058e-15
40 (-0.822165,0.292245) 5.34485e-07
41 (-0.817703,0.315703) 3.04746e-05
42 (-0.817703,-0.315703) 4.9273e-10
43 (-0.812761,-0.342035) 2.75666e-15
44 (-0.812761,0.342035) 2.04938e-15
45 (-0.80947,0.352005) 0.00448175
46 (-0.807471,-0.362935) 2.32851e-08
47 (-0.807471,0.362935) 5.99066e-08
48 (-0.798238,-0.401406) 1.30213e-10
49 (-0.798238,0.401406) 1.00633e-11
