0 (-0.850601,-0.0342706) 0.126251
1 (-0.850601,0.0342706) 0
2 (-0.850192,0.053129) 0
3 (-0.850192,-0.053129) 1.89856e-09
4 (-0.85014,0.0442021) 7.09669e-11
5 (-0.85014,-0.0442021) 0.000912732
6 (-0.850112,-0.0252554) 0
7 (-0.850112,0.0252554) 0
8 (-0.849218,0.0479702) 0
9 (-0.849218,-0.0479702) 0
10 (-0.848979,-0.102649) 0.0166254
11 (-0.848979,0.102649) 0
12 (-0.848474,0.0640357) 0
13 (-0.847826,0.0846783) 6.84423e-08
14 (-0.847826,-0.0846783) 3.77022e-05
15 (-0.847808,0.0769986) 0.0396581
16 (-0.847468,-0.0943804) 5.56501e-09
17 (-0.847468,0.0943804) 1.33399e-07
18 (-0.846956,-0.109439) 0.000107879
19 (-0.846956,0.109439) 5.07744e-07
20 (-0.846772,0.103251) 9.97971e-11
21 (-0.846709,0.0983972) 1.51968e-14
22 (-0.846323,0.113906) 2.79454e-15
23 (-0.846323,-0.113906) 1.88353e-05
24 (-0.846001,0.117627) 6.29096e-10
25 (-0.846001,-0.117627) 4.70931e-15
26 (-0.844741,-0.0693988) 5.30935e-15
27 (-0.844034,0.147703) 7.64296e-15
28 (-0.844034,-0.147703) 2.06593e-15
29 (-0.84119,0.172812) 3.28486e-12
30 (-0.84119,-0.172812) 4.17263e-15
31 (-0.839228,0.183282) 0.00154352
32 (-0.836914,0.20373) 0.0024243
33 (-0.836912,-0.203725) 3.71646e-12
34 (-0.833826,0.227034) 1.14219e-09
35 (-0.833826,-0.227034) 4.20665e-15
36 (-0.831965,0.236832) 0.0216248
37 (-0.83182,0.235308) 4.7609e-09
38 (-0.830146,-0.252317) 5.23581e-15
39 (-0.830146,0.252317) 2.75689e-15
40 (-0.827503,-0.26612) 1.80873e-15
41 (-0.827503,0.26612) 2.91668e-11
42 (-0.82615,0.27289) 3.96213e-08
43 (-0.82615,-0.27289) 2.31643e-15
44 (-0.822171,0.292239) 2.69335e-07
45 (-0.817713,0.315716) 4.70839e-09
46 (-0.817713,-0.315716) 0.000242599
47 (-0.812782,-0.342032) 8.32671e-15
48 (-0.812782,0.342032) 9.69676e-15
49 (-0.807491,0.362968) 0.00118398
