0 (-0.850622,-0.0342858) 6.29772e-09
1 (-0.850622,0.0342858) 1.04379e-05
2 (-0.85021,0.0531849) 5.0182e-11
3 (-0.85021,-0.0531849) 2.64697e-14
4 (-0.848996,-0.10271) 0.00452684
5 (-0.848996,0.10271) 1.8784e-09
6 (-0.846994,0.109411) 7.56796e-16
7 (-0.846993,-0.109411) 1.68923e-15
8 (-0.844025,-0.147643) 5.17155e-15
9 (-0.844025,0.147643) 2.34354e-13
10 (-0.841208,-0.172801) 2.38909e-15
11 (-0.841208,0.172801) 5.57231e-08
12 (-0.833843,0.227051) 3.59258e-08
13 (-0.830154,-0.252306) 2.31632e-15
14 (-0.830154,0.252306) 2.19841e-11
15 (-0.827517,0.266147) 8.63365e-09
16 (-0.812843,-0.342015) 4.13757e-15
17 (-0.812843,0.342015) 6.7793e-15
18 (-0.807582,-0.363109) 0.00219533
19 (-0.807582,0.363111) 2.14605e-07
20 (-0.798314,-0.401485) 5.19854e-15
21 (-0.798314,0.401485) 7.17903e-15
22 (-0.758803,-0.528712) 1.63601e-14
23 (-0.758803,0.528712) 1.1308e-14
