0 (-0.850586,-0.0342642) 5.56051e-08
1 (-0.850586,0.0342642) 3.46697e-09
2 (-0.850177,-0.0531066) 1.23978e-12
3 (-0.850177,0.0531066) 5.00723e-15
4 (-0.848965,0.102624) 2.56196e-09
5 (-0.848965,-0.102624) 0.00145246
6 (-0.846933,0.10945) 2.31714e-15
7 (-0.846933,-0.10945) 6.85855e-16
8 (-0.844032,0.147724) 4.48864e-15
9 (-0.844032,-0.147724) 3.34637e-15
10 (-0.841174,0.172815) 5.37983e-15
11 (-0.841174,-0.172815) 1.06036e-10
12 (-0.833809,-0.227024) 1.21436e-08
13 (-0.830136,0.252317) 7.53254e-15
14 (-0.830136,-0.252317) 5.09736e-14
15 (-0.827488,-0.266106) 0.0137062
16 (-0.827432,0.265914) 2.26023e-07
17 (-0.812745,0.342038) 0.173281
18 (-0.812745,-0.342038) 1.79729e-14
19 (-0.800746,-0.358869) 3.83496e-15
20 (-0.798227,0.401393) 2.93053e-14
21 (-0.798227,-0.401393) 7.65557e-15
22 (-0.758859,0.528608) 1.38484e-14
23 (-0.758859,-0.528608) 1.17568e-14
