0 (-0.850623,-0.0342829) 6.88417e-09
1 (-0.850623,0.0342829) 9.22455e-06
2 (-0.850212,0.0531738) 5.10883e-11
3 (-0.850212,-0.0531738) 3.47287e-14
4 (-0.848998,-0.102698) 0.00469555
5 (-0.848998,0.102698) 3.21967e-09
6 (-0.846992,0.109417) 5.77341e-15
7 (-0.846981,-0.109409) 2.91467e-15
8 (-0.844031,-0.147656) 2.65061e-15
9 (-0.844031,0.147656) 1.71368e-13
10 (-0.84121,0.172804) 1.33651e-15
11 (-0.84121,-0.172804) 5.5559e-08
12 (-0.833846,0.227049) 5.40976e-08
13 (-0.830157,-0.25231) 2.88781e-15
14 (-0.830157,0.25231) 3.12615e-11
15 (-0.82752,0.266143) 1.45873e-08
16 (-0.812837,-0.342019) 5.48457e-15
17 (-0.812837,0.342019) 6.76699e-15
18 (-0.80757,0.363084) 0.0157327
19 (-0.807481,-0.363111) 1.28552e-06
20 (-0.798308,-0.401474) 2.31776e-15
21 (-0.798308,0.401474) 1.10601e-14
22 (-0.758824,-0.528699) 8.1344e-15
23 (-0.758824,0.528699) 6.35464e-15
