0 (-0.850601,0.034271) 0.000288507
1 (-0.850192,-0.053129) 3.48896e-12
2 (-0.850192,0.053129) 1.73174e-09
3 (-0.848979,-0.102649) 1.69281e-05
4 (-0.848979,0.102649) 1.60712e-15
5 (-0.846956,0.109439) 2.67586e-15
6 (-0.844034,-0.147703) 1.44164e-15
7 (-0.844034,0.147703) 2.49307e-15
8 (-0.84119,0.172812) 1.17223e-09
9 (-0.84119,-0.172812) 4.88951e-15
10 (-0.833826,0.227034) 1.51722e-08
11 (-0.830146,-0.252317) 6.10846e-15
12 (-0.830146,0.252317) 8.96111e-15
13 (-0.827503,0.26612) 0.0236476
14 (-0.827379,-0.265797) 4.25779e-10
15 (-0.812782,-0.342032) 6.66789e-15
16 (-0.812782,0.342032) 1.91382e-14
17 (-0.807496,0.362966) 0.0233669
18 (-0.80737,-0.362917) 4.30745e-05
19 (-0.798257,0.401421) 9.75527e-15
20 (-0.798257,-0.401421) 4.13607e-15
21 (-0.784978,-0.447027) 0.0102915
22 (-0.75886,-0.52864) 7.75752e-15
23 (-0.75886,0.52864) 1.68519e-14
