0 (-0.850626,-0.0342916) 5.23667e-12
1 (-0.850626,0.0342916) 3.00239e-09
2 (-0.850214,0.0532072) 1.35359e-14
3 (-0.850214,-0.0532072) 7.59717e-15
4 (-0.848998,-0.102733) 5.16951e-06
5 (-0.848998,0.102733) 7.02239e-11
6 (-0.847004,0.109399) 4.20922e-15
7 (-0.847004,-0.109399) 1.83161e-15
8 (-0.84402,-0.147615) 2.75321e-15
9 (-0.84402,0.147615) 5.78309e-15
10 (-0.841209,0.172795) 5.32075e-12
11 (-0.841209,-0.172795) 1.20809e-14
12 (-0.833843,0.227055) 2.28094e-05
13 (-0.830155,-0.252298) 7.7453e-15
14 (-0.830155,0.252298) 5.90534e-15
15 (-0.827517,0.266154) 1.02149e-05
16 (-0.812858,-0.342007) 4.46877e-15
17 (-0.812858,0.342007) 6.64961e-15
18 (-0.807611,-0.363164) 1.65097e-07
19 (-0.807611,0.363164) 7.75552e-06
20 (-0.798331,-0.401508) 3.91207e-15
21 (-0.798331,0.401508) 4.02202e-17
22 (-0.75876,-0.528739) 3.95833e-15
23 (-0.75876,0.528739) 1.50823e-14
