0 (-0.85059,-0.0342673) 3.2729e-10
1 (-0.85059,0.0342673) 5.54439e-08
2 (-0.85018,0.0531177) 6.06782e-14
3 (-0.85018,-0.0531177) 4.02004e-15
4 (-0.848968,0.102637) 4.92882e-05
5 (-0.848968,-0.102637) 5.69335e-09
6 (-0.846941,0.109445) 7.51384e-16
7 (-0.846941,-0.109445) 1.52359e-15
8 (-0.844029,0.147713) 2.73589e-15
9 (-0.844029,-0.147713) 6.12972e-15
10 (-0.841178,-0.172813) 7.34443e-15
11 (-0.841178,0.172813) 5.22671e-11
12 (-0.833814,0.227029) 0.0165851
13 (-0.83369,-0.227214) 1.70096e-07
14 (-0.830137,0.252316) 1.44369e-13
15 (-0.830137,-0.252316) 8.04787e-15
16 (-0.827492,0.266113) 5.45736e-08
17 (-0.812761,-0.342035) 8.79204e-15
18 (-0.812761,0.342035) 2.35669e-15
19 (-0.807459,0.362914) 0.00876007
20 (-0.798238,-0.401406) 1.09536e-14
21 (-0.798238,0.401406) 6.40154e-15
22 (-0.758857,-0.528623) 1.49234e-14
23 (-0.758857,0.528623) 1.64302e-15
