0 (-0.850203,-0.0531515) 1.64331e-09
1 (-0.850203,0.0531515) 4.37889e-07
2 (-0.84899,-0.102674) 0.00823447
3 (-0.84899,0.102674) 3.82464e-15
4 (-0.846949,0.109386) 2.68579e-15
5 (-0.844033,0.147681) 5.08867e-15
6 (-0.844033,-0.147681) 4.61075e-15
7 (-0.841202,-0.172808) 2.13314e-15
8 (-0.841202,0.172808) 1.08665e-08
9 (-0.833839,0.227042) 7.16801e-08
10 (-0.830153,-0.252314) 4.75482e-15
11 (-0.830153,0.252314) 3.48518e-15
12 (-0.827513,0.266133) 0.00824908
13 (-0.827494,-0.266107) 1.73686e-10
14 (-0.812813,-0.342026) 5.20315e-15
15 (-0.812813,0.342026) 2.7053e-15
16 (-0.807535,0.363026) 3.90389e-09
17 (-0.807535,-0.363026) 9.61442e-06
18 (-0.798285,0.401448) 1.05131e-14
19 (-0.798285,-0.401448) 4.37056e-15
20 (-0.785073,0.447019) 0.00016671
21 (-0.785066,-0.447011) 0.000911408
22 (-0.758848,-0.52867) 8.31404e-15
23 (-0.758848,0.52867) 1.55469e-14
