0 (-0.850613,-0.0342768) 6.6424e-15
1 (-0.850613,0.0342768) 3.02869e-15
2 (-0.850203,-0.0531515) 6.19425e-08
3 (-0.850203,0.0531515) 1.64438e-07
4 (-0.850157,0.0441928) 0
5 (-0.850157,-0.0441928) 0
6 (-0.850077,-0.0252663) 0
7 (-0.850077,0.0252663) 0
8 (-0.849239,0.0479654) 0
9 (-0.849239,-0.0479654) 0
10 (-0.84899,-0.102674) 2.98682e-07
11 (-0.84899,0.102674) 2.06541e-05
12 (-0.84783,-0.0846678) 2.34599e-09
13 (-0.84783,0.0846677) 2.70511e-08
14 (-0.847485,-0.0943805) 0.000117154
15 (-0.847485,0.0943805) 4.31491e-11
16 (-0.846976,-0.109428) 1.73935e-07
17 (-0.846976,0.109428) 4.36798e-15
18 (-0.846757,0.103252) 5.34984e-15
19 (-0.846325,-0.113914) 4.26567e-06
20 (-0.846325,0.113914) 1.44112e-10
21 (-0.846011,0.117637) 1.13158e-15
22 (-0.846011,-0.117637) 9.0895e-16
23 (-0.844033,-0.147681) 0.00677806
24 (-0.844033,0.147681) 4.25216e-15
25 (-0.842744,0.151076) 3.15566e-15
26 (-0.841202,0.172808) 8.26254e-12
27 (-0.841202,-0.172808) 3.93851e-15
28 (-0.83924,0.183281) 7.39089e-05
29 (-0.836901,0.203723) 0.0589925
30 (-0.836327,-0.20379) 0.0509945
31 (-0.835673,0.202264) 1.70435e-11
32 (-0.833839,0.227042) 7.5467e-15
33 (-0.833839,-0.227042) 2.93683e-09
34 (-0.83197,0.23683) 5.98279e-10
35 (-0.830153,-0.252314) 5.31954e-15
36 (-0.830153,0.252314) 1.21572e-14
37 (-0.827513,-0.266133) 2.83117e-15
38 (-0.827513,0.266133) 6.42547e-12
39 (-0.826148,-0.272893) 1.04486e-08
40 (-0.826148,0.272893) 6.85404e-15
41 (-0.82217,0.292223) 5.78225e-06
42 (-0.81772,0.315735) 4.61558e-09
43 (-0.81772,-0.315735) 7.58081e-06
44 (-0.812813,-0.342026) 1.25506e-14
45 (-0.812813,0.342026) 9.97044e-15
46 (-0.809261,0.353912) 0.00797625
47 (-0.807535,-0.363026) 1.17794e-08
48 (-0.807535,0.363026) 0.000773547
49 (-0.798285,0.401448) 1.5647e-10
