0 (-0.850629,0.0342888) 0.0369158
1 (-0.850629,-0.0342888) 2.52757e-15
2 (-0.850217,0.0531961) 5.95927e-13
3 (-0.850217,-0.0531961) 0.00027639
4 (-0.850179,-0.0441737) 4.53996e-08
5 (-0.850179,0.0441737) 0
6 (-0.849993,0.025302) 0
7 (-0.849993,-0.025302) 0
8 (-0.849272,-0.0479557) 0
9 (-0.849271,0.0479552) 0
10 (-0.849002,0.102721) 0
11 (-0.849002,-0.102721) 0.000213386
12 (-0.848231,-0.0595737) 2.70291e-07
13 (-0.847829,-0.0846469) 4.77494e-11
14 (-0.847828,0.0846474) 1.25123e-07
15 (-0.847506,0.0943778) 0.000712254
16 (-0.847506,-0.0943778) 1.14823e-10
17 (-0.847004,-0.109405) 1.97117e-09
18 (-0.847004,0.109405) 4.41495e-15
19 (-0.846716,-0.103234) 5.00167e-17
20 (-0.846319,0.113926) 6.44593e-10
21 (-0.846319,-0.113926) 2.5967e-09
22 (-0.846022,0.117653) 1.82838e-15
23 (-0.846022,-0.117653) 2.42739e-15
24 (-0.844027,-0.147629) 0.0296169
25 (-0.844027,0.147629) 8.68125e-15
26 (-0.842451,0.1509) 6.01848e-15
27 (-0.841213,-0.172798) 3.41932e-15
28 (-0.841213,0.172798) 5.54334e-15
29 (-0.839256,0.183284) 0.000557159
30 (-0.836856,0.203704) 1.11292e-09
31 (-0.833848,0.227054) 6.90754e-08
32 (-0.833848,-0.227054) 2.00754e-14
33 (-0.831967,0.236824) 9.61868e-07
34 (-0.830159,-0.252303) 3.36444e-15
35 (-0.830159,0.252303) 1.43002e-14
36 (-0.827522,0.266151) 7.6521e-09
37 (-0.827522,-0.266151) 3.49469e-15
38 (-0.826131,0.272894) 3.94344e-05
39 (-0.826131,-0.272894) 1.96726e-10
40 (-0.817725,0.315761) 1.55232e-05
41 (-0.817725,-0.315761) 4.8366e-06
42 (-0.812855,-0.342012) 4.15606e-15
43 (-0.812855,0.342012) 8.95107e-15
44 (-0.809441,0.353993) 0.000241698
45 (-0.809441,-0.353998) 0.000210793
46 (-0.807601,0.363139) 6.08105e-10
47 (-0.807601,-0.363139) 2.84937e-10
48 (-0.798327,-0.401498) 6.3328e-13
49 (-0.798327,0.401498) 6.0959e-10
