0 (-0.850622,-0.0342858) 0.0449136
1 (-0.850622,0.0342858) 2.53056e-12
2 (-0.85021,-0.0531849) 1.4907e-14
3 (-0.85021,0.0531849) 0.00537745
4 (-0.850171,-0.0441785) 5.88791e-08
5 (-0.850171,0.0441785) 0
6 (-0.850011,-0.0252912) 0
7 (-0.850011,0.0252912) 0
8 (-0.849261,-0.0479581) 0
9 (-0.849251,0.0479598) 0
10 (-0.848996,0.10271) 0
11 (-0.848996,-0.10271) 0.00088645
12 (-0.847826,-0.084652) 1.0827e-07
13 (-0.847823,0.084652) 0.0133864
14 (-0.847663,-0.0612302) 4.29283e-11
15 (-0.847498,0.0943786) 4.16208e-07
16 (-0.847498,-0.0943786) 0.000160353
17 (-0.846994,0.109411) 6.71972e-12
18 (-0.846994,-0.109411) 1.81416e-09
19 (-0.846822,-0.0986496) 3.8882e-16
20 (-0.846721,-0.103267) 1.35668e-15
21 (-0.846317,0.113923) 3.18879e-11
22 (-0.846317,-0.113923) 2.52483e-09
23 (-0.846016,0.117649) 7.91211e-16
24 (-0.846016,-0.117649) 5.28606e-15
25 (-0.844025,-0.147643) 0.0092025
26 (-0.844025,0.147643) 6.71071e-15
27 (-0.842683,0.151046) 5.00324e-15
28 (-0.841208,0.172801) 6.77181e-15
29 (-0.841208,-0.172801) 3.71175e-15
30 (-0.839249,0.183284) 0.000110012
31 (-0.836866,0.203709) 1.24751e-10
32 (-0.833843,0.227051) 1.17001e-05
33 (-0.833843,-0.227051) 3.99823e-15
34 (-0.831965,0.236826) 4.34315e-07
35 (-0.830154,-0.252306) 1.00649e-14
36 (-0.830154,0.252306) 4.52982e-11
37 (-0.827517,-0.266147) 2.01485e-14
38 (-0.827517,0.266147) 2.02486e-05
39 (-0.826133,0.272894) 1.65837e-10
40 (-0.817721,0.315756) 7.39115e-06
41 (-0.817721,-0.315758) 0.00564137
42 (-0.812843,0.342015) 9.52674e-15
43 (-0.812843,-0.342015) 7.36063e-15
44 (-0.809395,0.353976) 0.000455827
45 (-0.809388,-0.353969) 0.000672939
46 (-0.807582,-0.363111) 4.46111e-10
47 (-0.807582,0.363111) 2.00128e-10
48 (-0.798314,-0.401485) 2.35892e-13
49 (-0.798314,0.401485) 4.95705e-13
